step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
53,0.0295305,-0.244763,0.225844,0.0327977,0.0752572,0,-0.285674,-0.0245447,0.471717,0.99515,-0.0305422,-0.0462489,0.0812722,-0.502526,0.524648,-0.52393,-0.523415,0.353883,-0.545422,0.523755,0.702044,1.51125,-0.410861,-0.931338,0.86672,0.330315,0.180896,2.14227,0.100116,0.008763,-0.0130126,-4.32831,-0.419974,-0.00509848,-6.93848,
54,0.036014,-0.0642906,0.313184,0.0925826,0.154048,0,-0.212003,-0.0178193,0.417816,0.995125,-0.00748143,-0.0368703,0.0911654,-0.357273,0.535693,-0.509471,-0.5234,0.0911915,-0.569986,0.523745,0.483908,1.83347,-0.555423,-0.957927,0.309398,0.517918,1.23617,3.64205,0.333873,0.547502,0.00602334,-6.08984,-0.523828,-0.000272621,0.399655,
55,0.00186359,0.163193,0.35007,0.143214,0.108774,0,-0.0896722,-0.00658266,0.396517,0.99107,-0.0056732,0.00609474,0.133086,-0.124533,0.567678,-0.461642,-0.523444,-0.233244,-0.593099,0.523815,0.514867,2.64923,-0.930517,-0.297611,1.10365,-0.469583,0.465728,5.53468,0.869247,1.53074,-0.00759749,-7.04562,-0.465926,0.00355745,0.46162,
56,-0.0169085,0.378347,0.0994085,0.0605466,0.0203054,0,0.0827471,0.0114357,0.432868,0.991675,-0.016013,-0.0177057,0.126534,0.197185,0.622857,-0.36616,-0.523683,-0.563938,-0.602138,0.523731,0.569174,3.07807,-1.41686,0.839527,-0.606315,-1.01241,-1.2213,7.51275,1.52217,2.29121,-0.00983552,-2.59886,-0.110514,-0.00230767,1.66825,
57,0.0158837,0.364622,-0.101854,-0.0865448,-0.122058,0,0.270707,0.0368852,0.468404,0.995403,-0.0169949,-0.0399304,0.0853808,0.561083,0.706322,-0.249904,-0.52469,-0.541385,-0.60342,0.520704,0.719536,2.77291,-1.08283,0.703529,0.499391,-0.0655847,-1.42605,2.98251,1.76743,2.33167,-0.0412562,1.18903,0.105083,-0.137936,4.31592,
58,0.00289637,0.297655,-0.201924,-0.181103,-0.291642,0,0.258431,0.0391679,0.490892,0.997456,-0.00431671,-0.0393904,0.0592569,0.541868,0.776675,-0.15889,-0.526731,-0.434779,-0.591603,0.51621,0.996707,2.59468,-0.998406,0.277893,0.357617,-0.44302,-0.875017,-1.25912,1.05498,1.3273,-0.0354392,3.06262,0.371814,-0.0199905,6.73985,
59,-0.0382649,0.171671,-0.252177,-0.231715,-0.4023,0,0.207276,0.0328567,0.530393,0.994941,-0.0208198,-0.0886245,0.0424773,0.443757,0.795454,-0.146508,-0.527753,-0.245599,-0.56137,0.521057,1.28141,2.10854,-0.118873,1.01372,-1.61005,-1.63422,-0.994681,-2.6536,-0.303606,-0.808373,-0.024206,4.51725,0.811433,0.173696,0.149699,
60,0.0143164,-0.0080696,-0.320503,-0.278468,-0.321051,0,0.115868,0.0183504,0.570897,0.993595,-0.040643,-0.0993807,0.0352242,0.266971,0.738263,-0.256245,-0.526869,0.0114306,-0.518964,0.521933,1.23984,1.86511,-0.253773,0.540229,-0.832573,-0.113072,0.088007,-4.38279,-1.97529,-3.61281,0.0227795,5.764,0.370436,-0.127652,-0.623883,
61,0.0298542,-0.217692,-0.347732,-0.310581,-0.154671,0,-0.0259672,-0.000293835,0.583879,0.992323,-0.0641794,-0.0968414,0.0423934,-0.00534305,0.590601,-0.491243,-0.52564,0.313369,-0.520711,0.518117,1.20778,1.66921,-0.25425,-0.0229225,-0.939344,0.337455,0.695461,-6.49097,-3.91546,-5.76943,0.0271986,6.3092,-0.0921743,-0.0266722,-0.658495,
62,0.0308197,-0.373577,-0.0277839,-0.203023,-0.0778577,0,-0.224185,-0.0174154,0.575457,0.992098,-0.0733191,-0.0870675,0.0527835,-0.384302,0.486727,-0.560497,-0.52321,0.556069,-0.524507,0.522031,1.13583,2.13955,-0.0850594,-0.229616,0.671496,0.367817,0.931342,-8.67282,0.734478,0.993947,0.0743857,0.445069,-0.0589934,0.167153,-2.20412,
63,0.0338394,-0.348523,0.0777828,-0.0426021,-0.0303284,0,-0.327996,-0.0282734,0.553356,0.993229,-0.0591067,-0.0761507,0.0648362,-0.589083,0.515582,-0.524835,-0.523181,0.515258,-0.530616,0.524704,0.959978,2.36126,-0.426175,-0.66584,0.562774,0.455211,-0.173221,1.32909,0.281304,0.431293,-0.0152437,-1.6348,-0.185584,-0.0256839,-4.80988,
64,0.055272,-0.25932,0.199774,0.0170595,0.0818144,0,-0.288658,-0.0247409,0.507494,0.9951,-0.0443626,-0.0593937,0.0654311,-0.508659,0.522466,-0.509374,-0.523858,0.375902,-0.544867,0.523911,0.66146,2.43582,-0.550558,-1.11481,1.03562,1.07523,0.360734,1.84271,0.0433912,0.206978,0.00101976,-3.9236,-0.381715,-0.0059847,-7.11666,
