step,action0,action1,action2,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,
133,0.0202456,0.00643454,-0.560329,1.26327,0.0184288,-0.0351342,-0.0880162,0.778554,2.154,-0.108562,0.0339889,-0.274041,-2.75423,-1.18693,
134,0.0214097,0.0198671,-0.58001,1.26214,0.0187868,-0.0371552,-0.109743,0.765903,2.14123,-0.176472,0.0574779,-0.23191,-2.67948,-1.97638,
135,0.0223876,0.0186764,-0.585966,1.26045,0.0194115,-0.0388531,-0.130838,0.746807,2.13369,-0.246247,0.10027,-0.19316,-2.59594,-2.79794,
136,0.0231906,0.0111478,-0.590992,1.25819,0.0204166,-0.0402474,-0.151307,0.721099,2.12901,-0.317999,0.151799,-0.155734,-2.52213,-3.62904,
137,0.0238179,0.00632718,-0.595632,1.25536,0.0218218,-0.0413367,-0.171235,0.688729,2.12365,-0.3887,0.198757,-0.116539,-2.45975,-4.46243,
138,0.0242602,0.00538091,-0.597158,1.25198,0.0235773,-0.0421048,-0.190687,0.649689,2.11712,-0.457539,0.239244,-0.075393,-2.40316,-5.29643,
139,0.0245099,0.00762627,-0.593194,1.24805,0.0256353,-0.0425384,-0.209688,0.603993,2.10975,-0.524672,0.274279,-0.0329046,-2.3469,-6.12682,
140,0.0245621,0.0127023,-0.58164,1.24359,0.0279549,-0.0426291,-0.228223,0.551698,2.10183,-0.5904,0.304551,0.0103623,-2.28663,-6.94598,
141,0.0244146,0.0203591,-0.560273,1.2386,0.0305004,-0.0423729,-0.246245,0.492937,2.09366,-0.65519,0.330702,0.0538443,-2.21861,-7.74331,
142,0.0240676,0.0303228,-0.526516,1.2331,0.0332419,-0.0417703,-0.263679,0.42794,2.08554,-0.719694,0.353509,0.0969471,-2.13966,-8.50508,
143,0.0235244,0.0421992,-0.477396,1.22708,0.0361564,-0.0408271,-0.280427,0.357062,2.07783,-0.784761,0.374002,0.139023,-2.04718,-9.21393,
144,0.0227914,0.0554058,-0.409814,1.22054,0.0392307,-0.0395542,-0.296375,0.280811,2.07095,-0.851422,0.393551,0.179355,-1.93942,-9.84824,
145,0.0218588,-0.0884362,-0.12522,1.21372,0.0425282,-0.0379349,-0.31119,0.200757,2.02954,-0.684719,0.471322,0.245905,-1.63852,-9.63006,
146,0.0204421,-0.472141,0.32184,1.21079,0.046938,-0.0354753,-0.322661,0.132287,1.92693,-0.0735986,0.634203,0.362509,-1.25869,-7.57571,
147,0.0184848,-0.591226,0.0985033,1.21195,0.051846,-0.0320774,-0.333966,0.0805477,1.82615,0.340329,0.589467,0.48289,-1.58878,-5.44143,
148,0.0159724,-0.609819,-0.348128,1.21598,0.0559727,-0.0277163,-0.348855,0.0430393,1.72286,0.646775,0.43628,0.605142,-2.14688,-3.9991,
149,0.0128885,-0.57411,-0.692544,1.22223,0.0585855,-0.0223639,-0.368341,0.0135498,1.6106,0.900678,0.21024,0.732021,-2.73214,-3.4166,
150,0.00922252,-0.498382,-0.859054,1.23035,0.0592239,-0.0160021,-0.392291,-0.0138955,1.49292,1.11934,-0.0572256,0.858264,-3.25926,-3.47358,
151,0.00499723,-0.392185,-0.927075,1.24007,0.0576838,-0.0086705,-0.420055,-0.0432698,1.37788,1.30279,-0.333988,0.974837,-3.68374,-3.89042,
152,0.000272742,-0.268976,-0.953189,1.25111,0.0539903,-0.000473218,-0.45067,-0.0768133,1.27154,1.45241,-0.595033,1.07487,-3.97097,-4.51086,
153,-0.00319999,0.304289,-0.988696,1.26322,0.0459362,0.00555213,-0.482678,-0.115772,1.13927,1.5695,-1.40238,0.45819,-4.03358,-5.24113,
154,-0.00441968,0.421781,-0.981316,1.27625,0.0337027,0.00766838,-0.512387,-0.161345,1.1054,1.68437,-1.62786,0.11007,-3.39983,-6.16299,
155,-0.0044869,0.405659,-0.943509,1.29014,0.0205434,0.00778502,-0.536565,-0.214557,1.09741,1.78536,-1.64748,-0.0588711,-2.64852,-7.14811,
156,-0.00402808,0.359695,-0.813234,1.30476,0.00748113,0.00698893,-0.55491,-0.275632,1.09075,1.86606,-1.61141,-0.128292,-1.93953,-8.12674,
157,-0.00338327,0.315091,-0.480651,1.31989,-0.00521759,0.00587014,-0.567919,-0.344022,1.08281,1.914,-1.56051,-0.14549,-1.31363,-8.977,
158,-0.00268846,0.278219,-0.000920645,1.33519,-0.0174166,0.0046646,-0.576341,-0.41773,1.0848,1.90543,-1.4887,-0.156089,-0.793087,-9.45894,
159,-0.00189992,0.227565,0.361064,1.35016,-0.0288396,0.00329645,-0.581107,-0.493108,1.1134,1.83568,-1.36366,-0.187107,-0.402607,-9.39284,
160,-0.000959832,0.179777,0.577202,1.3645,-0.0392394,0.00166535,-0.583166,-0.565933,1.14814,1.75005,-1.23574,-0.220796,-0.112847,-8.81386,
161,0.000130452,0.139011,0.696416,1.37813,-0.048652,-0.00022634,-0.583231,-0.632863,1.18401,1.65856,-1.1157,-0.252791,0.0939176,-7.92127,
162,0.00136412,0.105943,0.762048,1.39102,-0.0571314,-0.0023668,-0.581928,-0.691988,1.21926,1.56473,-1.00589,-0.281542,0.234076,-6.85777,
163,0.00271643,0.0823968,0.800669,1.40316,-0.0647922,-0.00471313,-0.579683,-0.742207,1.25164,1.47012,-0.909081,-0.305152,0.326422,-5.69805,
164,0.00416923,0.0636302,0.823469,1.41454,-0.0717079,-0.00723384,-0.576847,-0.782943,1.2829,1.376,-0.819707,-0.325105,0.382139,-4.48741,
165,0.00575749,0.0176615,0.809711,1.42509,-0.0777072,-0.00998963,-0.573963,-0.807494,1.33846,1.26435,-0.686503,-0.361338,0.346607,-1.83549,
